Russian_term	English_term	Russian_sentence	English_sentence_expert	consistency
схема эксперимента	schematic of the experiment	Образцы и схема экспериментальной установки	SAMPLES AND SCHEMATIC OF THE EXPERIMENTAL SETUP	True
схема эксперимента	schematic of the experiment	Схема экспериментальной установки приведена на рис. 2.	A schematic of the experimental setup is shown in Fig. 2.	True
схема эксперимента	schematic of the experiment	Схема экспериментальной установки для измерения материальных параметров данного образца на основе метода адаптивной голографической интерферометрии в пропускающей геометрии представлена на рисунке.	A schematic of the experimental setup for measuring the material parameters of this sample based on adaptive holographic interferometry in transmission geometry is presented in Fig. 1.	True
схема эксперимента	schematic of the experiment	Схема эксперимента представлена на вставке справа сверху [48].	Schematic of the experiment is in the right top inset [48].	True
схема эксперимента	schematic of the experiment	Схема экспериментальной ЖК-ячейки показана на рис. 29 [83].	A schematic diagram of an experimental LC cell is shown in Fig. 29 [83].	False
схема эксперимента	schematic of the experiment	Рис. 5. Принципиальная схема экспериментального стенда для исследования процессов формирования фотоиндуцированных деформаций, включающая в себя основные инструменты для реализации времяразрешающей рентгенодифракционной методики и электрофизических измерений. ТTL1–ТTL4 – управляющие TTL-сигналы, подаваемые на модули экспериментального стенда для автоматизации экспериментальных измерений.	Fig. 5 Schematic diagram of the experimental bench for the investigation of the processes of photoinduced-deformation formation, comprising the basic instruments for the implementation of time-resolved X-ray diffraction technique and electrophysical measurements. ТTL1–ТTL4 are controlling TTL signals fed to the modules of experimental bench intended for the experimental measurement automation.	False
схема эксперимента	schematic of the experiment	Основные параметры станции приведены в табл. 6, схема экспериментальной станции показана на рис. 30.	The main parameters of the experimental station are listed in Table 6; its schematic diagram is shown in Fig. 30.	False
схема эксперимента	schematic of the experiment	Схема эксперимента и наносекундная динамика образования кавитационного пузыря и распространения ударной волны, установленные в эксперименте, показаны на рис. 34.	A schematic of the experiment and the experimentally determined nanosecond dynamics of cavitation bubble formation and shock wave propagation are shown in Fig. 34.	True
схема эксперимента	schematic of the experiment	Основные параметры станции приведены в табл. 7, схема экспериментальной станции показана на рис. 36.	The main parameters of the experimental station are listed in Table 7, and its schematic diagram is shown in Fig. 36.	False
схема эксперимента	schematic of the experiment	Схема эксперимента показана на рис. 38.	A schematic of the experiment is shown in Fig. 38.	True
скорость звука	speed of sound	СКОРОСТЬ ЗВУКА В БИНАРНЫХ РАСПЛАВЛЕННЫХ СМЕСЯХ ГАЛОГЕНИДОВ КАЛИЯ	Speed of Sound in Binary Molten Mixtures of Potassium Halides	True
скорость звука	speed of sound	С помощью импульсно-временного метода измерена скорость звука в бинарных расплавленных смесях KCl–KBr, KCl–KI, KBr–KI, KF–KCl, KF–KBr и KF–KI в широком интервале температур и составов.	Speed of sound in binary molten KCl–KBr, KCl–KI, KBr–KI, KF–KCl, KF–KBr, and KF–KI mixtures has been measured by the time-domain method in wide temperature and composition ranges.	True
скорость звука	speed of sound	С использованием литературных данных по плотности рассчитаны адиабатическая сжимаемость и молекулярная скорость звука.	The adiabatic compressibility and molecular speed of sound have been calculated using the data on density in the literature.	True
скорость звука	speed of sound	Скорость звука u измерялась импульсно-временным методом с использованием экспериментальной установки, подробно описанной ранее [3], с фиксированием времени ∆t прохождения звука через исследуемую среду между плоскопараллельными гранями цилиндрических акустических волноводов при заданном расстоянии ∆h между ними.	Speed of sound u was measured by the time-of-flight method on an experimental setup described in detail previously [3], which fixes time ∆t of sound propagation through the medium under study between plane-parallel faces of cylindrical acoustic waveguides at specified distance ∆h between them.	True
скорость звука	speed of sound	Скорость звука рассчитывалась по выражению u = ∆h/∆t.	The speed of sound was calculated from the expression u = ∆h/∆t.	True
скорость звука	speed of sound	Эксперименты показывают, что скорость звука в расплавленных солях не зависит от частоты в диапазоне от 1 до 35 МГц.	It was shown experimentally that the speed of sound in molten salts is independent of frequency in the range from 1 to 35 MHz.	True
скорость звука	speed of sound	Видно, что скорость звука во всех смесях убывает нелинейно с увеличением концентрации более тяжелых ионов системы.	One can see that the speed of sound in all mixtures decreases nonlinearly with an increase in the concentration of heavier ions in the system.	True
скорость звука	speed of sound	Независимость от температуры произведения скорости звука и мольного объема V = M/ρ также соблюдается для ионных расплавов солей, если представить молекулярную скорость звука в виде R = u2/3V [31].	The temperature independence of the product of the speed of sound and molar volume V = M/ρ is also valid for ionic melts of salts, if the molecular speed of sound is presented in the form R = u2/3V [31].	True
скорость звука	speed of sound	С использованием литературных данных по плотности рассчитаны адиабатическая сжимаемость и молекулярная скорость звука.	The adiabatic compressibility and molecular speed of sound have been calculated using the data on density in the literature.	True
скорость звука	speed of sound	В [9] измерена также скорость звука.	The speed of sound was also measured in [9].	True
упругое рассеяние нейтронов	elastic neutron scattering	Неупругое рассеяние нейтронов на магнонах появляется в узком конусе вокруг брэгговского пика при углах рассеяния меньше, чем , где  – масса нейтрона.	Inelastic neutron scattering by magnons appears in a narrow cone around the Bragg peak at scattering angles smaller than , where  is the neutron mass.	True
упругое рассеяние нейтронов	elastic neutron scattering	Продемонстрировано, что малоугловое неупругое рассеяние нейтронов представляет собой два круга с ограниченными радиусами и центрированными по передаче импульсами в соответствии с волновым вектором магнитной спирали kS, ориентированных вдоль приложенного вектора напряженности магнитного поля H.	It was demonstrated that small-angle inelastic neutron scattering is represented by two circles with limited radii and transfer-centered pulses according to the wave vector kS of the magnetic spiral oriented along the applied magnetic field vector H.	True
упругое рассеяние нейтронов	elastic neutron scattering	Действительно, для изучения структурных – или статических – свойств вещества основным источником информации является упругое рассеяние нейтронов, т.е. рассеяние без изменения энергии.	Indeed, the main source of information for studying the structural (or static) properties of a material is elastic neutron scattering; i.e., scattering without a change in energy.	True
упругое рассеяние нейтронов	elastic neutron scattering	Тем не менее неупругое рассеяние нейтронов, как поляризованных, так и неполяризованных, остается исключительно эффективным и прецизионным методом исследования спин-фононного взаимодействия и выявления скрытого параметра порядка, возникающего в электронной подсистеме (например, [30]).	Nonetheless, the inelastic scattering of neutrons (both polarized and unpolarized) remains an extremely efficient and precise method for studying the spin–phonon interaction and detection of the hidden order parameter arising in the electron subsystem (see, e.g., [30]).	False
упругое рассеяние нейтронов	elastic neutron scattering	Неупругое рассеяние нейтронов имеет неоспоримые преимущества при исследованиях водородсодержащих образцов.	Inelastic neutron scattering has undoubted advantages when studying hydrogen-containing samples.	True
упругое рассеяние нейтронов	elastic neutron scattering	Квазиупругое рассеяние нейтронов на сегодня является единственным экспериментальным методом, позволяющим изучать как временные, так и пространственные характеристики процессов самодиффузии.	To date, quasi-elastic neutron scattering is the only experimental method allowing one to study both temporal and spatial characteristics of self-diffusion processes.	True
упругое рассеяние нейтронов	elastic neutron scattering	Но, как упомянуто выше, неупругое рассеяние нейтронов обладает неоспоримыми преимуществами, особенно при исследованиях низкочастотной динамики, которая наблюдается в большинстве полимерных биологических систем.	However, as was noted above, inelastic neutron scattering has undoubted advantages, especially when studying the low-frequency dynamics, which is observed in most of polymer biological systems.	True
упругое рассеяние нейтронов	elastic neutron scattering	Список, конечно, далек от полноты, но в перечисленных направлениях неупругое рассеяние нейтронов и неупругое рассеяние СИ позволяют получать важную информацию о свойствах таких систем.	This list is far from being exhaustive; however, the use of inelastic neutron scattering and inelastic SR scattering when studying the above-mentioned phenomena provides important information about the properties of these systems.	True
экспериментальная установка	experimental setup	Экспериментальная установка для возбуждения и регистрации спектров спонтанного КР света описана в [22].	The experimental setup for exciting and recording spontaneous Raman scattering spectra was described in [22].	True
экспериментальная установка	experimental setup	ЭКСПЕРИМЕНТАЛЬНАЯ УСТАНОВКА И ОБРАЗЦЫ КОРПУСНОЙ СТАЛИ	EXPERIMENTAL SETUP AND VESSEL-STEEL SAMPLES	True
экспериментальная установка	experimental setup	ЭКСПЕРИМЕНТАЛЬНАЯ УСТАНОВКА И РЕЗУЛЬТАТЫ	EXPERIMENTAL AND RESULTS	False
экспериментальная установка	experimental setup	При исследовании интенсивности спектральных линий тонкой структуры Iс и Iмб Мандельштам-Бриллюэна нами была использована экспериментальная установка с двухпроходным интерферометром Фабри-Перо с контрастностью интерференционной картины 4105 и резкостью ~40.	Investigations of the intensities of the fine-structure spectral lines Ic and IMB were performed using an experimental setup with a double-pass Fabry–Perot interferometer with the interference-pattern contrast of 4 × 105 and sharpness of ~40.	True
экспериментальная установка	experimental setup	Аналогичная экспериментальная установка подробно описана в предыдущих наших работах [10].	A similar experimental setup was described in detail in our previous study [10].	True
экспериментальная установка	experimental setup	Экспериментальная установка	EXPERIMENTAL	False
экспериментальная установка	experimental setup	Экспериментальная установка, для получения спектров люминесценции: 1 – источник возбуждающего излучения ДРШ 250; 2 – светофильтр, выделяющий возбуждающее излучение; 3 – монохроматор, выделяющий возбуждающее излучение; 4 – криостат; 5 – исследуемый образец; 6 – терморегулятор; 7 – монохроматор для анализа спектра излучения; 8 – фотоумножители; 9 – усилители постоянного тока; 10 – цифровой вольтметр; 11 – устройство ввода–вывода; 12 – вычислительное устройство; 13 – графопостроитель.	Experimental setup for recording luminescence spectra: (1) DRSh 250 exciting radiation source, (2) light filter emitting excitation radiation, (3) monochromator emitting excitation radiation, (4) cryostat, (5) test sample, (6) thermostat, (7) monochromator for analyzing the radiation spectrum, (8) photomultipliers, (9) DC amplifiers, (10) digital voltmeter, (11) input–output device, (12) computer, and (13) plotter.	True
экспериментальная установка	experimental setup	Схема эксперимента. Экспериментальная установка накачки – пробы с использованием ячеек с алмазными наковальнями.	Schematic of the experiment: experimental pump–probe setup using cells with diamond anvils.	False
экспериментальная установка	experimental setup	ЭКСПЕРИМЕНТАЛЬНАЯ УСТАНОВКА	EXPERIMENTAL SETUP	True
экспериментальная установка	experimental setup	Рис. 1. Схема эксперимента (а): 1 – волоконный лазер, 2 – коллиматорная головка лазера, 3, 4 – полупрозрачные диэлектрические зеркала, 5 – объектив, 6 – медный цилиндр – мишень, 7 двигатель, 8 – шестикоординатный позиционер, 9 – контроллер, 10 – панель управления, 11 – ПК, 12 – спектрофотометр оптический, 13 – ПЗС-камера, 14 – детектор рентгеновского излучения, 15 – рентгеновский спектрофотометр Amptek, 16 – защитный пластиковый кожух, 17 – компрессор. Экспериментальная установка (б).	Fig. 1. (a) Schematic of the experiment: (1) fiber laser, (2) collimating head, (3, 4) semitransparent dielectric mirrors, (5) objective, (6) copper cylinder (target), (7) engine, (8) six-coordinate positioner, (9) controller, (10) control panel, (11) PC, (12) optical spectrophotometer, (13) CCD camera, (14) X-ray detector, (15) X-ray spectrophotometer Amptek, (16) protective plastic housing, and (17) compressor. (b) Experimental setup.	True
электронно-микроскопическое изображение	electron microscopy image	На рис. 1а представлено электронно-микроскопическое изображение поперечного среза образца после холодной деформации прокаткой.	Figure 1a shows a cross-sectional electron microscopy image of the sample strained by cold rolling.	True
электронно-микроскопическое изображение	electron microscopy image	На рис. 1б представлено электронно-микроскопическое изображение поперечного среза образца после рекристаллизационного отжига.	Figure 1b presents a cross-sectional electron microscopy image of a sample subjected to recrystallization annealing.	True
электронно-микроскопическое изображение	electron microscopy image	Электронно-микроскопическое изображение кремниевой подложки с регулярной системой Si-вискеров одинаковой высоты с глобулами Si–Au на вершинах.	Electron microscopy image of the silicon substrate with a regular system of Si whiskers of the same height with Si–Au globules at the tips.	True
электронно-микроскопическое изображение	electron microscopy image	Рис. 2. Электронно-микроскопическое изображение (а) и изображение, полученное с помощью оптического микроскопа (б), синтезированного ансамбля микрокристаллов ZnO (вид на обоих снимках – по нормали к подложке).	Fig. 2. (a) Electron and (b) optical microscopy images of the synthesized ensemble of ZnO microcrystals (view along the normal to the substrate in both panels).	False
длина свободного пробега	free path	Длина свободного пробега этих электронов при высоких напряжениях превышает размеры слоя и плазмы.	The mean free path of these electrons at high voltages exceeds the layer and plasma sizes.	True
длина свободного пробега	free path	Быстрые атомы движутся в кинетическом режиме, так как их длина свободного пробега заметно превышает длину перезарядки.	Fast atoms move in the kinetic mode, because their mean free path exceeds significantly the charge-exchange length.	True
длина свободного пробега	free path	где – средняя относительная скорость соударения молекул примеси и несущего газа (внешней атмосферы), μ – приведенная масса сталкивающихся частиц, kB – постоянная Больцмана, – средняя длина свободного пробега молекул пара в несущем газе (предполагается, что концентрация пара много меньше концентрации несущего инертного газа, ns << n0), σ – сечение столкновения молекулы пара с молекулами несущего газа.	where is the average relative collisional rate of impurity and carrier gas (external atmosphere) molecules, μ is the reduced mass of colliding particles, kB is the Boltzmann constant, is the mean free path of vapor molecules in the carrier gas (it is assumed that vapor concentration is much lower than the carrier inert gas concentration, ns << n0), and σ is the collisional cross section for vapor and carrier-gas molecules.	True
длина свободного пробега	free path	где σ – сечение фотоионизации, зависящее от энергии возбуждающих фотонов hν, T – эффективность детектора при кинетической энергии фотоэлектронов Ek, ρ – атомарная плотность материла (атомы/см3) на глубине образца с координатой z, λ – неупругая длина свободного пробега фотоэлектронов, θ – угол фотоэмиссии относительно нормали к поверхности образца.	where σ is the photoionization cross section dependent on the excitation photon energy hν, T is the detector efficiency at the photoelectron kinetic energy Ek, ρ is the atomic density of the material (in atoms/cm3) at the sample depth with a coordinate z, λ is the inelastic photoelectron mean free path, and θ is the photoemission angle with respect to the normal to the sample surface.	True
длина свободного пробега	free path	где – количество атомов углерода, соединенных соответственно с фтором и углеродом в верхней полусфере молекулы; – количество атомов углерода, соединенных с фтором и углеродом в нижней полусфере молекулы; – количество и толщина слоев, на которые была разбита молекула для поиска интенсивностей (рис. 1); λ – неупругая длина свободного пробега, которая в свою очередь зависит от кинетической энергии электрона; – коэффициент перед искомой функцией, учитывающий неточности используемой модели, а также многократное и упругое рассеяние электронов.	where nF and nC are the numbers of carbon atoms, bound, respectively, with fluorine and carbon in the upper molecule hemisphere; and are the numbers of carbon atoms, bound, respectively, with fluorine and carbon in the lower molecule hemisphere; and are, respectively, the number of the layers into which the molecule was divided to search for the intensities and the thickness of these layers (Fig. 1); λ is the inelastic mean free path, which, in turn, depends on the electron kinetic energy; and A is the coefficient at the desired function, taking into account the errors of the used model, as well as multiple and elastic electron scatterings.	True
длина свободного пробега	free path	Экспериментально измеряемой величиной является время регистрации максимума диффузионного сигнала  t = L2/(4A·D(T)), где A = 1/2 для “точечного”, A = 3/2 для “плоского” источника; L – размер образца; D – коэффициент диффузии D(T) = lv/3; l – длина свободного пробега НФ; v – средняя по поляризациям скорость звука.	The time of detection of the diffusion signal maximum t = L2/(4A × D(T)) is the experimentally measured parameter. Here, A = 1/2 and 3/2 for the point and flat sources, respectively; L is the sample size; D is the diffusion coefficient, D(T) = lv/3; l is the NP mean free path; and v is the polarization-averaged speed of sound.	True
длина свободного пробега	free path	где l – эффективная длина свободного пробега НФ в слоистой периодической структуре с периодом R.	where l is the effective NP mean free path in a layered periodic structure with a period R.	True
длина свободного пробега	free path	При этом длина свободного пробега относительно фонон-фононного взаимодействия для референтной группы фононов  l*(T)3.8К = ( D(T) · *)1/2 = 1–0.9 см.	In this case, the mean free path relative to the phonon–phonon interaction for the reference phonons group is l*(T)3.8K = (D(T) × τ*)1/2 = 1–0.9 cm.	True
длительность импульса	pulse duration	Возбуждение газовых смесей (Ar+CCl4) производилось импульсным пучком быстрых электронов ускорителя РАДАН-220. Энергия электронов пучка ~220 keV, длительность импульса ~5 ns.	Gas mixtures (Ar + CCl4) were excited by a pulsed high-energy electron beam from a RADAN-220 accelerator with an electron energy of ~220 keV and a pulse width of ~5 ns.	False
длительность импульса	pulse duration	Сверхвысокая яркость пучка и короткая длительность импульса РЛСЭ существенно расширяют границы применимости традиционных методов белковой кристаллографии и позволяют изучать структуры сверхмалых микро- и наноразмерных образцов, а также изучать структурную динамику белковых макромолекул во временных интервалах от миллисекунд до десятков фемтосекунд.	The ultrahigh beam brightness and short XFEL pulse duration expand significantly the applicability limits of the conventional methods of protein crystallography and make it possible to study the structure of extremely small samples of micro- and nanosizes and analyze the structural dynamics of protein macromolecules in time intervals from several milliseconds to several tens of femtoseconds.	True
длительность импульса	pulse duration	В настоящее время оборудование станции вводится в эксплуатацию, проводятся исследования пространственных и временных характеристик лазерных импульсов, генерируемых ондулятором SASE3, режимов работы ондулятора и исследовательских инструментов станции, в частности определены режимы, обеспечивающие высокую степень пространственной когерентности до 90% и среднюю длительность импульса около 10 фс [136].	Currently the equipment of the station is being put into operation, the spatial and temporal characteristics of the laser pulses generated by the SASE3 undulator are studied, and the operation regimes of the undulator and research tools of the station are analyzed; in particular, regimes providing a high degree of spatial coherence (up to 90%) and average pulse duration of about 10 fs were found [136].	True
длительность импульса	pulse duration	Лазерный источник в НИЦ КИ имеет следующие характеристики: центральная длина волны – 800 нм, ширина спектра 750–850 нм, минимальная длительность импульса 25 фс, частота следования импульсов 10 Гц, энергия в импульсе – до 7 Дж (рис. 1а).	The laser source at the NRC KI has the following characteristics: the central wavelength of 800 nm, the spectral width in the range of 750–850 nm, the minimum pulse width of 25 fs, the pulse repetition rate of 10 Hz, and the pulse energy of up to 7 J (Fig. 1a).	False
длительность импульса	pulse duration	Известно, что оптимальная промежуточная длительность импульса должна соответствовать времени термализации нейтронов в замедлителе.	It is known that the optimal intermediate pulse duration should correspond to the neutron thermalization time in the moderator.	True
длительность импульса	pulse duration	Так, при углах рассеяния 2°  2θ  10° и работе в диапазоне 1.7–2.7 эВ длительность импульса на образце составит всего лишь десятки микросекунд.	In particular, at scattering angles 2°  2θ  10° and neutron energies in the range of 1.7–2.7 eV, the pulse duration on the sample is only several tens of microseconds.	True
длительность импульса	pulse duration	Требуемая длительность импульса определяется заданным приборным разрешением.	The desired pulse duration is determined by the specified instrumental resolution.	True
длительность импульса	pulse duration	Таким образом, длительность импульса равна разнице во времени пролета на 15 метрах для нейтронов с длинами волн 5 и 5.35 Å (107% от 5 Å).	Thus, the pulse duration is equal to the difference in the times of flight on a distance of 15 m for the neutrons with wavelengths of 5 and 5.35 Å (107% of 5 Å).	True
длительность импульса	pulse duration	Таким образом, оптимальная длительность импульса, определенная из нужд эксперимента, составляет 1.33 мс.	Thus, the pulse duration optimal for the experiment is 1.33 ms.	True
длительность импульса	pulse duration	Из соображений достижения максимума светосилы оптимальная длительность импульса должна совпадать со временем модерации нейтронов заданной длины волны.	To obtain maximum luminosity, the optimal pulse duration should coincide with the moderation time for neutrons with a specified wavelength.	True
лазер на свободных электронах	free-electron laser	С 2017 г. в немецком городе Гамбург успешно работает крупнейшая международная установка для структурных исследований класса мегасайенс – Европейский рентгеновский лазер на свободных электронах.	Since 2017, the largest international facility for structural studies of mega-science class—European X-ray Free-Electron Laser—has been successfully operating in Hamburg (Germany).	True
лазер на свободных электронах	free-electron laser	ЕВРОПЕЙСКИЙ РЕНТГЕНОВСКИЙ ЛАЗЕР НА СВОБОДНЫХ ЭЛЕКТРОНАХ	European X-ray Free-Electron Laser	True
лазер на свободных электронах	free-electron laser	Европейский рентгеновский лазер на свободных электронах	European X-ray Free-Electron Laser	True
лазер на свободных электронах	free-electron laser	Первого сентября 2017 г. в пригороде немецкого города Гамбург Шенефельде был торжественно открыт Европейский рентгеновский лазер на свободных электронах (European X-ray Free Electron Laser, XFEL).	On September 1, 2017, the European X-ray Free Electron Laser (XFEL) was inaugurated in Schönefelde, a surburb of Hamburg (Germany).	False
лазер на свободных электронах	free-electron laser	Что же такое лазер на свободных электронах и почему он имеет такие размеры, какими характеристиками он обладает и чем отличается от обычного лазера? Лазер (LASER) – это английская аббревиатура от Light Amplification by Stimulated Emission of Radiation – усиление света за счет вынужденного излучения.	A number of the questions arise: what is the X-ray free-electron laser? why does it have such sizes? what characteristics does it have? what is its difference from a conventional laser? Laser is an acronym for Light Amplification by Stimulated Emission of Radiation.	True
лазер на свободных электронах	free-electron laser	Одна из немногих альтернатив классической схемы лазера – лазер на свободных электронах (ЛСЭ).	One of few alternatives for the classical laser scheme is the free-electron laser (FEL).	True
лазер на свободных электронах	free-electron laser	ЕВРОПЕЙСКИЙ РЕНТГЕНОВСКИЙ ЛАЗЕР НА СВОБОДНЫХ ЭЛЕКТРОНАХ	European X-ray Free-Electron Laser	True
лазер на свободных электронах	free-electron laser	Европейский лазер на свободных электронах открывает совершенно новую область временных масштабов для структурной диагностики, недоступную другим методам, когда мы сможем изучать динамику твердых тел с атомарным пространственным разрешением одновременно с пикосекудным и фемтосекундным разрешением.	The European X-ray free-electron laser opens a completely new range of time scales for structural diagnostics (inaccessible for other methods), where one will be able to study the dynamics of solids with atomic spatial resolution and simultaneously with pico- and femtosecond resolution.	True
лазер на свободных электронах	free-electron laser	Участие Российской Федерации в международных проектах “мегасайенс”, реализуемых за рубежом, таких как XFEL (Европейский рентгеновский лазер на свободных электронах, г. Гамбург, Германия) и ESRF (Европейский центр синхротронных исследований, г. Гренобль, Франция), позволило приобрести уникальные компетенции и опыт, сформировать необходимый научно-технический и кадровый задел, получить доступ к определенным технологиям и техническим решениям, которые также послужили основой для разработки настоящего проекта.	The participation of the Russian Federation in the international megascience projects implemented abroad, such as the European XFEL (Hamburg, Germany) and European Synchrotron Radiation Facility (ESRF, Grenoble, France), made it possible to acquire unique competences and experience; form the necessary scientific, technical, and personnel reserve; and gain access to certain technologies and technical solutions, which also served a basis for developing this project.	False
лазер на свободных электронах	free-electron laser	Лазер на свободных электронах (ЛСЭ) – уникальная установка класса “мегасайенс”, позволяющая генерировать фемтосекундные импульсы гигаваттной мощности в различных спектральных диапазонах от терагерцового до рентгеновского [1, 2].	A free-electron laser (FEL) is a unique facility of megascience class, which makes it possible to generate femtosecond pulses of gigawatt power in different spectral ranges: from terahertz to X-ray [1, 2].	True
объем элементарной ячейки	unit-cell volume	Интересен постоянный вклад – объем элементарной ячейки VF, приходящийся на один ион фтора, рис. 2.	The constant contribution is of interest (unit-cell volume VF per fluorine ion, Fig. 2).	True
объем элементарной ячейки	unit-cell volume	Здесь - объем элементарной ячейки, ,  - матричный элемент оператора дипольного момента кристалла, вычисленный на волновых функциях экситонов, ,   энергии экситонов при , соответствующих -й и -й экситонным зонам.	Here,  is the unit-cell volume, ,  is the matrix element of the dipole moment operator of the crystal calculated on the exciton wave functions, and  and  are the exciton energies at  corresponding to the th and th exciton bands, respectively.	True
объем элементарной ячейки	unit-cell volume	Как показано в [12], часть элементарной ячейки, в которой содержится информация о кристалле, рассчитывается как V* = V0/M, где V0 – объем элементарной ячейки, M – порядок группы симметрии, а V* представляет собой фундаментальный объем.	As was shown in [12], the unit-cell part containing information about the crystal is calculated as V* = V0/M, where V0 is the unit-cell volume, M is the symmetry-group order, and V* is the fundamental volume.	True
объем элементарной ячейки	unit-cell volume	Нагревание до 295 K приводит к повышению симметрии структуры: группа симметрии меняется на Pbcm, объем элементарной ячейки уменьшается в 2 раза (табл. 1).	Heating to 295 K increases the structure symmetry: the symmetry group changes to Pbcm and the unit-cell volume decreases by a factor of 2 (Table 1).	True
объем элементарной ячейки	unit-cell volume	При нагревании этого минерала до температуры 275C наблюдалось термическое расширение кристалла, при котором объем элементарной ячейки линейно возрастал с ростом температуры по закону V = 1349.87 + 42 × 10–3T [Å3].	Upon heating to a temperature of 275ºC, thermal expansion of a crystal of this mineral was observed, at which the unit-cell volume increased linearly with an increase in temperature according to the law V = 1349.87 + 42 × 10–3T [Å3].	True
объем элементарной ячейки	unit-cell volume	Здесь df – плотность каркаса, – количество катионов, участвующих в формировании каркасной постройки, Vuc – объем элементарной ячейки.	Here df is the framework density, is the sum of the cations considered to form the structural framework, and Vuc is the unit cell volume.	False
