ru,en
"Как правило, сечение незеркального рассеяния, содержащее информацию о латеральных неоднородностях в плоскости зеркального рассеяния, существенно меньше сечений зеркального рассеяния, а рассеяние МУРН-СП значительно меньше незеркального [3, 24].","The nonspecular scattering cross section, containing information about the lateral inhomogeneities in the specular scattering plane, is generally much smaller than the specular scattering cross sections, and the GISANS scattering intensity is much lower than the nonspecular scattering intensity [3, 24]."
"Учитывая, что метод МУРН-СП подразумевает точечную коллимацию, очевидно, что его реализация имеет смысл только на источниках с очень высоким потоком.","With allowance for the fact that the GISANS method implies point collimation, its implementation is obviously reasonable on only sources with a very high flux."
"На источниках со средним или слабым потоком нет смысла для реализации сложных и затратных методик, а достаточно иметь прибор с более простой схемой измерений.","In the case of medium- or weak-flux sources, there is no sense to implement complex and expensive techniques; it is sufficient to have an instrument with a simpler measurement scheme."
"В последние годы в некоторых европейских центрах (LLB, GKSS, HZB, FZJ) были выведены из эксплуатации реакторы, которые относились к среднепоточным источникам нейтронов.","In the last years several reactors belonging to medium-flux neutron sources were decommissioned at some European centers (LLB, GKSS, HZB, and FZJ)."
"На каждом из них вполне успешно функционировали рефлектометры, которые имели высокую научную эффективность в самых разных приложениях.","All these sources were equipped with successfully functioning reflectometers, which have demonstrated a high scientific efficiency in most diverse applications."
"Например, в [9, 10, 26, 27] исследовался эффект усиления квазибрэгговского диффузного рассеяния поляризованных нейтронов в магнитных многослойных наноструктурах Co/Ti и Fe/Al на рефлектометрах TOREMA II (GKSS) и EROS (LLB).","For example, the enhancement of the effect of quasi-Bragg diffuse polarized-neutron scattering in magnetic multilayer (Co/Ti and Fe/Al) nanostructures was investigated on the reflectometers TOREMA II (GKSS) and EROS (LLB) [9, 10, 26, 27]."
"В работе [25], основанной на результатах, полученных на рефлектометре HADAS в исследовательском центре Юлиха (Германия), проведено исследование магнитных корреляций вдоль границ раздела в многослойной структуре, состоящей из 100 бислоев Fe50Co48V2/TiN.","Kentxinger et al. [25], based on the results obtained with the HADAS reflectometer at the Jülich Research Center (Germany), studied the magnetic correlations along interfaces in a multilayer structure consisting of 100 Fe50Co48V2/TiN bilayers."
Большой вклад в изучение биологических слоистых структур был сделан на рефлектометрах V6 и V18 BioRef в Берлинском центре HZB (Германия) [28].,A large contribution to the study of biological layered structures was made on the V6 and V18 BioRef reflectometers at the Berlin center HZB (Germany) [28].
"Узнать более подробно о действующих и уже закрытых рефлектометрах, а также о некоторых исследованиях, которые на них проводились, можно на специализированном сайте [29].","More details about the functioning and decomissiond reflectometers, as well as some studies performed on them, can be found at the specialized website [29]."
,
"Важно отметить, что рефлектометры на источниках со средним и малым потоками идеально подходят для апробации новых методик и реализации программ обучения.",It is noteworthy that reflectometers on medium- and low flux sources are ideal candidates for approval of new techniques and realizing training programs.
Поэтому также представляет интерес проектирование рефлектометров на компактных источниках нейтронов на основе ускорителей.,"Therefore, it is also of interest to design reflectometers on accelerator-based compact neutron sources."
,
"В России на сегодня работают и планируются источники нейтронов, как с высоким, так и со средним потоком нейтронов.","Currently, neutron sources with both high and medium neutron fluxes operate of are planned to be designed in Russia."
Это даст возможность оптимального распределения приборной базы нейтронной рефлектометрии по функциональным возможностям с обеспечением доступа к измерениям широкого круга пользователям.,"Thus, the instrumental base of neutron reflectometry can be optimally distributed over functional possibilities, with provided access to measurements for a wide circle of users."
,
,
,
2.,2.
ОПЫТ РАЗВИТИЯ МЕТОДА НЕЙТРОННОЙ РЕФЛЕКТОМЕТРИИ В РОССИИ,EXPERIENCE IN THE NEUTRON REFLECTOMETRY DEVELOPMENT IN RUSSIA
,
"Методы НР использовались для практических целей задолго до того, как они стали применяться для исследований в области конденсированного состояния вещества.",The NR methods had been used in practice long before they were applied to study the condensed state of matter.
В 1951 г. Юз и Берджи предложили способ получения поляризованных пучков отражением нейтронов со спинами одного из противоположных направлений от намагниченных зеркал [30].,In 1951 Hughes and Burgy proposed a way to form polarized-neutron beams by reflecting neutrons with spins having one of two opposite directions from magnetized mirrors [30].
,
"Нейтронная рефлектометрия как метод исследования конденсированных сред сформировался в 80-х годах прошлого века для изучения поверхностного магнетизма (например, [31, 32]).","Neutron reflectometry as a method for investigating condensed matter was formed in the 1980s with the aim of studying the surface magnetism (see, e.g., [31, 32])."
С тех пор нейтронные рефлектометры стали появляться во всех крупных нейтронных центрах.,Since that time all large neutron centers have been equipped with neutron reflectometers.
Первый рефлектометр в СССР появился даже раньше этого времени.,The first reflectometer in the Soviet Union arose even earlier.
"В 1977–1979 годах в ПИЯФ был разработан первый в мире нейтронный рефлектометр с поляризованными нейтронами, работающий по методу времени пролета [33, 34].","In 1977–1979, the world's first polarized-neutron reflectometer, operating in the time-of-flight mode, was developed at the PNPI [33, 34]."
Расположенная на канале № 13 (тепловая колонна) реактора ВВР-М эта установка неоднократно модернизировалась под вновь возникавшие задачи и успешно функционировала до остановки реактора в 2015 г.,"This installation, located in channel 13 (thermal column) of the WWR-M reactor, was repeatedly upgraded to solve novel problems; it had functioned successfully until the reactor was decommissioned in 2015."
"На этом рефлектометре был выполнен ряд работ по поляризационной нейтронной рефлектометрии [35, 36].","A number of polarization neutron reflectometry studies were performed on this reflectometer [35, 36]."
В [35] была исследована доменная структура тонких магнитных пленок Fe36Co64 и Co при их перемагничивании.,The domain structure of thin magnetic Fe36Co64 and Co films during their magnetization reversal was investigated in [35].
"В [36] исследованы особенности процесса намагничивания бислойной наноструктуры CoCu/Co, состоящей из обменно-связанных гранулированного ферромагнетика CoCu и ферромагнетика Co.","Some specific features of the magnetization of bilayer CoCu/Co nanostructure, consisting of exchange-coupled granular ferromagnet CoCu and ferromagnet Co, were analyzed in [36]."
"Однако основными задачами этого рефлектометра (с 2005 г. получил название НР-4М [37]) были исследование и тестирование нейтронных покрытий для нейтронно-оптических устройств, разрабатываемых и производимых в ПИЯФ.","However, this reflectometer (referred to as NR-4М [37] since 2005) was mainly aimed at studying and testing neutron coatings for the neutron-optical devices developed and produced at the PNPI."
,
"В установке была реализована возможность работы в четырех режимах: с неполяризованным/поляризованным пучком, по времени пролета и с постоянной длиной волны.","The possibility of operating in the following four modes was implemented in the system: operation with unpolarized/polarized beam, time-of-flight mode, and cw mode."
Выбор режима работы НР-4М определялся требованиями конкретного эксперимента.,The choice of NR-4М operation mode was determined by the requirements of a specific experiment.
