Russian_term	English_term	Russian_sentence	English_sentence_expert	en_google Russian_sentence	en_nllb Russian_sentence	en_marian Russian_sentence
в интервале температур	in the temperature range of	Дифференциальную сканирующую калориметрию (ДСК) и термогравиметрию проводили на оборудовании NETZSCH STA  в интервале температур 20–1250С на воздухе при скорости нагрева и охлаждения 10 град/мин.	Differential scanning calorimetry (DSC) and thermogravimetry were carried out on a NETZSCH STA 449C equipment in the temperature range of 20–1250°C in air at the heating and cooling rates of 10 K/min.	Differential scanning calorimetry (DSK) and thermal gravimetry were carried out on the equipment of Netzsch Sta in the temperature range of 20–1250 ° C in the air at a heating and cooling rate of 10 degrees/min.	Differential scanning calorimetry (dsk) and thermogravimetry were conducted on netzsch sta equipment at a temperature range of 201250s in the air at a heating and cooling rate of 10 град/min.	The differential scanning calories (dsk) and thermogravimetry were performed on netzsch sta equipment at temperatures between 20 and 1250 °s per air at a temperature of 10 deg/min.
в исследуемой системе	in the system under study	Что касается роли вакансий в исследуемой системе, для частотной области hω < E1  ЕОА оказывается более чувствительной к изменению , чем для hω > E2.	In regards to the role of vacancies in the system under study, the NOA is more sensitive to a change in Cv for the frequency region of hω < E1, in comparison with hω > E2.	As for the role of vacancies in the studied system, for the frequency area of Hω <e1, E1 is more sensitive to change than for hω> e2.	As for the role of vacancies in the system under investigation, for the frequency range hω < e1 eoa is more sensitive to change than for hω > e2.	With regard to the role of vacancies in the system under study, for the frequency area h < e1 eoa, it is more sensitive to change than for h> > e2.
в какой-то момент	at some instant	По мере пролета электронного сгустка через ондулятор в какой-то момент спонтанно начинается и выходит в насыщение режим ССИ, интенсивность излучения при этом экспоненциально возрастает.	While the electron bunch passes through the undulator, the SASE mode spontaneously occurs at some instant and then reaches saturation; the radiation intensity exponentially increases under these conditions.	As the electronic clot passes through the ondulator, at some point, the SSI mode is spontaneously spontaneously, the radiation intensity increases exponally.	As the electron cluster passes through the onductor at some point, it starts spontaneously and goes into saturation in the cSI mode, the intensity of the radiation increases exponentially.	As the electronic clot passes through the ondulator at some point spontaneously begins and enters the suy mode, the radiation intensity increases exponentially.
в лабораторных условиях	under laboratory conditions	Еще в работе Н.В. Белова и Н.И. Органовой [21] установлено, что в лабораторных условиях ломоносовит легко вымывается водой не только при нагревании, но и на холоде.	Even in the earlier study by N.V. Belov and N.I. Organova [21], it was established that lomonosovite is easily washed out with water under laboratory conditions not only upon heating but also at low temperatures.	Even in the work of N.V.Belova and N.I.Organ [21] established that in laboratory conditions, the lomonosovite is easily washed out with water not only when heated, but also in the cold.	In the work of the N.V. of the white and the N.V. of the organ, [21] it is established that in laboratory conditions, the lo-monosophy is easily washed with water not only when heated, but also when cold.	It is established in the body [21] that in the laboratory conditions, the labs are easily washed with water, not only when heated but also when cold.
в логарифмических координатах	in logarithmic coordinates	На всех графиках данные по интенсивности рентгеновских отражений представлялись в логарифмических координатах с тем, чтобы сделать более выразительными слабые пики.	To emphasize weak peaks, the data on the X-ray reflection intensities are presented in logarithmic coordinates in all plots.	On all schedules, data on the intensity of X -ray reflections were presented in logarithmic coordinates in order to make weak peaks more expressive.	All graphs have been used to represent the intensity of X-ray reflections in logarithmic coordinates to make the weak spikes more expressive.	In all graphs, data on the intensity of X-ray reflections were presented in logarithmic coordinates in order to make the weak peaks more pronounced.
в лучшем случае	at best	В методе вторичной ионной масс-спектроскопии происходит локальное распыление поверхности сфокусированным ионным пучком и выполняется соответствующий анализ масс-спектров распыленных ионов, поэтому локальность метода определяется размером зонда исходного пучка и составляет, в лучшем случае, несколько десятков нанометров (50 нм).	Secondary ion mass spectroscopy implies local sputtering of the surface by a focused ion beam and corresponding analysis of the mass spectra of sputtered ions; therefore, the locality of this method is determined by the initial-beam probe size and equals to several tens of nanometers at best (~50 nm).	In the method of secondary ion mass spectroscopy, local spraying of the surface occurs with a focused ion beam and an appropriate analysis of the mass spectors of sprayed ions is performed, therefore, the locality of the method is determined by the size of the starting beam probe and, at best, several dozen nanometers (50 nm).	In the secondary ion mass spectroscopy method, a focused ion beam sprays the surface locally and performs a corresponding analysis of the mass spectra of the sprayed ions, so the method's locality is determined by the size of the original beam probe and is, at best, several tens of nanometers (50 nm).	In the secondary ion mass spectroscopy method, local dispersion of the surface by the concentrated ion beam is performed and the corresponding analysis of the spray ions mass spectra is performed, so the locality of the method is determined by the size of the reference beam probe and is, at best, several dozen nanometres (~50 nm).
в направлении оптической оси	in the direction of the optical axis	В правых кристаллах в направлении оптической оси спирали правые (рис. 1б), а в перпендикулярном направлении – левые.	In the right-handed crystals, the helices are right- (Fig. 1b) and left-handed in the direction of the optical axis and perpendicular to it, respectively.	In the right crystals in the direction of the optical axis of the spiral of the right (Fig. 1b), and in the perpendicular direction - the left.	In the right crystals, the spirals are in the direction of the optical axis (fig. 1b), and in the perpendicular direction  the left.	in the right crystals in the direction of the optical axis of the spiral, the right (Figure 1b), and in the perpendicular direction, the left.
в направлении падающего пучка	in the incident beam direction	В своей докторской диссертации он писал: “… в направлении падающего пучка благодаря направленности актов отрицательной абсорбции должно наблюдаться увеличение интенсивности.	"He wrote in his doctoral dissertation: ""…due to the directionality of negative absorption events, an increase in intensity should be observed in the incident beam direction."	In his doctoral dissertation, he wrote: “... in the direction of the falling beam due to the direction of the acts of negative absorption, an increase in intensity should be observed.	In his doctoral dissertation, he wrote:... in the direction of the falling beam, due to the direction of the negative absorption acts, there should be an increase in intensity.	In his Ph.D. thesis, he wrote:..............................................
в настоящее время	currently	Среди электролитических систем в настоящее время большое внимание уделяют исследованию ионных жидкостей, которые имеют молекулярно-ионную природу с большой ионной составляющей.	Currently, ionic liquids, which have a molecular-ion nature with a large ionic component, are of great interest among electrolytic systems.	Among the electrolytic systems, they currently pay much attention to the study of ionic liquids, which have a molecular-ion nature with a large ion component.	Among electrolytic systems, there is a lot of attention now being paid to the study of ionic liquids, which have a molecular ionic nature with a large ionic component.	Among electrolytic systems, much attention is currently being given to the study of ion liquids, which have a molecular-ion nature with a large ion component.
в науке и технике	in science and technology	В науке и технике используется много разных типов интерферометров, но наибольшую известность получил самый простой из них, а именно интерферометр с двумя щелями, известный как интерферометр Юнга [1].	Many different types of interferometers are used in science and technology; however, the most popular is the simplest one, specifically, the double-slit interferometer, known as the Young interferometer [1].	In science and technology, many different types of interferometers are used, but the most fame has received the simplest of them, namely an interferometer with two cracks, known as the Jung interferometer [1].	There are many different types of interferometers used in science and technology, but the simplest of these is known as the two-slit junction interferometer [1].	In science and technology, many different types of interferometers are used, but the simplest of them is most famous, namely an interferometer with two slits, known as the youth [1].
в начале координат	at the origin of coordinates	Базисный атом углерода зафиксирован в начале координат, а все атомы – в узлах пересечений многих семейств кристаллографических плоскостей, в том числе наиболее заполненных атомами плоскостей {220} [11].	The basic carbon atom is fixed at the origin of coordinates, and all atoms are located at the intersection sites of many sets of crystallographic planes (including the most heavily occupied {220} planes) [11].	The basic carbon atom was recorded at the beginning of the coordinates, and all the atoms are in the nodes of the intersections of many families of crystallographic planes, including the most filled with atoms of planes {220} [11].	The base carbon atom is fixed at the beginning of the coordinates, and all  atoms are in the intersection nodes of many crystallographic plane families, including the most filled with plane atoms {220} [11].	The base carbon atom is fixed at the beginning of the coordinates, and all atoms are in the knots of many crystallographic planes families, including the most filled planes {220} [11].
в области взаимодействия	in the interaction region	Плотность мощности рентгеновского импульса в области взаимодействия составляет более 1018 Вт/см2.	X-ray pulse power density in the interaction region is more than 1018 W/cm2.	The density of the X -ray pulse in the field of interaction is more than 1018 W/cm2.	The density of the power of the x-ray pulse in the field of interaction is more than 1018 watts/cm2.	The density of the X-ray pulse in the field of interaction is more than 1,018 W/cm2.
в области низких температур	at low temperatures	С тем чтобы была видна общая картина особенностей, ниже для этих веществ в табл. 3 приведены значения положительных и отрицательных коэффициентов линейного расширения αl × 106 1/К в области низких температур (10–300 К).	To show the general picture of the specific features, the values of positive and negative thermal expansion coefficients αl × 106 1/K for these materials at low temperatures (10–300 K) are given below in Table 3.	So that a general picture of features is visible, lower for these substances in table.3 shows the values of the positive and negative coefficients of the linear expansion αl × 106 1/k in the area of low temperatures (10–300 K).	To give a general picture of the characteristics, table 3 below gives the values of the positive and negative linear expansion coefficients of αl × 106 1/k in the low temperature range (10300 k).	For these substances, the values of the positive and negative coefficients of linear expansion αl x 106 1/k in the low temperature area (10 - 300 k) are shown below in table 3.
в области фазового перехода	near the phase transition	Показано, что в спектре рассеянного излучения кристалла кварца присутствует центральный пик, проявляющийся не только в области фазового перехода, но и в широком диапазоне температур вдали от Тс.	It was shown that the scattered radiation spectrum of a quartz crystal contains the central peak occurring not only near the phase transition but also in a wide temperature range far from Tc.	It is shown that in the spectrum of the scattered radiation of the quartz crystal there is a central peak that manifests itself not only in the phase transition, but also in a wide temperature range away from the vehicle.	It has been shown that there is a central peak in the scattered quartz crystal radiation spectrum, not only in the phase transition region, but also in the wide temperature range away from the th.	It is shown that the quartz crystal has a central peak in the diffuse radiation spectrum, not only in the phase transition area but also in a wide range of temperatures away from the ts.
в общем случае	in the general case	Очевидно, что индекс упаковки α является функцией не только КЧ, но в общем случае также функцией соотношения периодов решетки, угла между осями и координат атомов в структуре.	It obvious that packing fraction α is a function of not only the coordination number but also (in the general case) the lattice period ratio, angle between the axes, and atomic coordinates in the structure.	Obviously, the packaging index α is the function not only of the CF, but in the general case also the function of the ratio of the lattice periods, the angle between the axes and the coordinates of atoms in the structure.	It is obvious that the packing index α is not only a function of kc, but in general, it is also a function of the ratio of lattice periods, the angle between the axes and the coordinates of the atoms in the structure.	It is clear that the packing index α is not only a function of kh, but also, in general, a function of the relationship between the grid periods, the angle between the axles and the coordinates of the atoms in the structure.
в одних и тех же условиях	under the same conditions	Дифрактограммы всех образцов получены в одних и тех же условиях: рентгеновский дифрактометр Ultma IV фирмы Rigaku (Япония); напряжение 40 кВ; ток 30 мА; излучение CuKα; никелевый фильтр; высокоскоростной детектор D/tex; щели Соллера 2.5°; щель, ограничивающая расходимость падающего пучка 0.5°; скорость движения детектора 2 град/мин; шаг 0.01°.	The diffraction patterns of all samples were recorded using an Ultma IV X-ray diffractometer (Rigaku, Japan) under the same conditions: voltage 40 kV; current 30 mA; CuKα radiation; nickel filter; D/tex high-speed detector; 2.5° Soller slits; 0.5° slit, which limits the incident-beam divergence; detector velocity 2 K/min; and step 0.01°.	Diphractograms of all samples were obtained in the same conditions: X -ray diffractometer Ultma IV Rigaku (Japan);voltage 40 kV;current 30 mA;radiation CUKα;nickel filter;high -speed detector D/TEX;Soller's gaps 2.5 °;a gap that limits the divergence of a falling beam 0.5 °;The speed of the detector is 2 degrees/min;Step 0.01 °.	The diffractograms of all samples were obtained under the same conditions: rigaku (Japan) firm's ultrasonic diffractometer (ultra) IV; voltage 40 kV; current 30 ma; cukα radiation; nickel filter; high-speed detector d/tex; soler slits 2.5°; slits limiting the spacing of the falling beam 0.5°; detector motion speed 2 град/min; step 0.01°.	The diphractograms of all samples are obtained under the same conditions: X-ray ulta ltma iv (aponies); voltage 40 square metres; current 30 m; ukα radiation; nickel filter; high-speed detector d/text; straw slits 2.5°; crack limiting the flow of the fall beam 0.5°; detector speed 2 deg/min; step 0.01°.
в окрестности фазового перехода	near the phase transition	При исследованиях структурного α–β-фазового перехода в кварце в узком интервале температур в окрестности фазового перехода ранее был обнаружен [9–11] эффект резкого возрастания (на 3–4 порядка) интенсивности рассеянного света, классифицируемый как эффект “опалесценции”, аналогичный эффекту опалесценции вблизи фазовых переходов типа “жидкость–пар”.	When studying the structural α–β phase transition in quartz in a narrow temperature range, the effect of sharp increase (by 3–4 orders of magnitude) in the scattered light intensity (classified as the opalescence effect, similar to that near liquid–vapor phase transitions) near the phase transition was previously found [9–11].	In the studies of the structural α -β-phase transition to the quartz in a narrow temperature range, the effect of a sharp increase (on 3–4 orders) of the intensity of multiple light, classified as the effect of “Oplying”, similar to the effect, similar to the effect, similar to the effect, similar to the effect was found.Oplying near phase transitions of the type “liquid -car” type.	In studies of the structural αβ-phase transition in quartz in the narrow temperature intervals around the phase transition, the effect of a sharp increase in the intensity of scattered light (by 34 order) was previously detected [911], classified as the opalatescence effect, similar to the effect of the opalatescence near phase transitions of the type par fluid.	Studies of the structural α-β phase quartz transition at a narrow temperature interval around the phase transition have previously detected [9-11] the surge effect (3-4 order) of the diffuse light intensity classified as the o-palescence effect similar to the opalescence effect in the vicinity of phase transitions of the type, liquidity-pair.
в определенной мере	to a certain extent	Подобный характер структуры зерна мог предполагать разную плотность внутренней части зерна и приграничных областей с элементами двойникования, что в определенной мере могло определять прочностные характеристики образцов.	This character of the grain structure may suggest different densities of the internal grain part and interfacial regions with twin elements, which can determine to a certain extent the strength characteristics of the samples.	A similar nature of the structure of grain could assume a different density of the inside of the grain and border regions with double elements, which to a certain extent could determine the strength characteristics of the samples.	The similar nature of the grain structure could have suggested different densities of the grain's interior and border regions with doubling elements, which could have determined the strength characteristics of the samples to some extent.	This type of grain structure could imply different densities of the inside of the grain and of the border areas with elements of doppelgangering, which could to some extent determine the firm characteristics of the samples.
в определенной степени	to a certain extent	При этом лазерно-плазменные источники рентгеновского излучения могут служить в качестве альтернативы обычным рентгеновским трубкам и в определенной степени синхротронным установкам [2–6].	Laser-plasma X-ray sources may be an alternative for conventional X-ray tubes and, to a certain extent, for synchrotron sources [2–6].	At the same time, laser-plasma sources of x-ray radiation can serve as an alternative to ordinary X-ray tubes and, to a certain extent, synchrotron plants [2–6].	In this case, laser-plasma sources of X-ray radiation can serve as an alternative to conventional X-ray tubes and to some extent synchrotron installations [26].	with laser-plasmic sources of X-rays as an alternative to conventional X-ray tubes and to some extent synchrotrons [2 - 6].
в определенных условиях	under certain conditions	Известно, что в определенных условиях Цит c может менять конформацию, переходя в состояние, близкое по свойствам к так называемой “moltenglobule” (расплавленная глобула), что может быть связано с изменением полярности среды [4].	Under certain conditions, Cyt c can undergo conformational changes to form a state similar in properties to the so-called molten globule, which may be due to changes in the polarity of the medium [4].	It is known that under certain conditions, CIT C can change the conformation, turning into a state close in properties to the so -called “moltenglobule” (molten globe), which may be associated with a change in the polarity of the environment [4].	It is known that under certain conditions, citrate c can change conformation by passing into a state close to the so-called moltenglobule (melted globe), which may be due to a change in the polarity of the environment [4].	It is known that, under certain conditions, c-c may change the pattern by moving to a state close to the so-called moltenglobule (spoiled globe), which may be associated with a change in the polarity of the environment [4].
в первом порядке теории возмущений	in the first-order perturbation theory	Последнее было сделано в работе [12] в первом порядке теории возмущений.	The latter was taken into account in [12] in the first-order perturbation theory.	The latter was made in [12] in the first order of the theory of disturbances.	The latter was done in the work [12] in the first order of the theory of outrages.	The latter was done in [12] the first order of disturbance theory.
в поперечном направлении	in the transverse direction	При дифракции на двух щелях пучки от них начинают пересекаться на расстоянии z0 = x0/α вдоль оптической оси, где x0 – расстояние между щелями в поперечном направлении.	Under conditions of double-slit diffraction, the beams from the slits begin to intersect at a distance z0 = x0/α along the optical axis, where x0 is the distance between the slits in the transverse direction.	During diffraction on two cracks, bunches from them begin to cross at a distance of Z0 = X0/α along the optical axis, where X0 is the distance between the cracks in the transverse direction.	When diffracted at two gaps, the beams start to intersect at a distance z0 = x0/α along the optical axis, where x0  is the distance between the gaps in a transverse direction.	When difraction occurs on two slits of the beam, it begins to intersect at a distance of z0 = x0 α along the optical axis, where x0 is the distance between the slits in the transverse direction.
в порядке возрастания	in ascending order	Материалы расположены в порядке возрастания их относительной средней квадратичной упругой анизотропии	The materials are arranged in ascending order of their relative mean quadratic elastic anisotropy	The materials are located in the order of increasing their relative average square elastic anisotropy	materials are arranged in the order of their relative average squared elastic anisotropy increase	The materials are arranged in order of increasing their relative average square anisotropia.
в последнее время	recently	Но в последнее время высказано предположение о его присутствии вдали от температуры фазового перехода.	However, it has been recently stated that this peak may be present far from the phase-transition temperature.	But recently, an assumption has been expressed about its presence far from the temperature of the phase transition.	But recently, it has been suggested that it's far from the phase transition temperature.	But it has recently been suggested that he be present far from the temperature of the phase transition.
в последние годы	in recent years	Разработанные в последние годы методы обработки первичных данных позволяют извлечь более двух десятков разнообразных характеристик материалов, что делает наноиндентирование гораздо более информативным средством по сравнению с традиционными видами механических испытаний [1, 2].	The methods for processing primary data developed in recent years can yield more than two tens of various characteristics of materials, which makes nanoindentation much more informative tool, in comparison with conventional mechanical tests [1, 2].	The methods of processing primary data developed in recent years make it possible to extract more than two dozens of various characteristics of materials, which makes nanoindenting a much more informative tool compared to traditional types of mechanical tests [1, 2].	The primary data processing methods developed in recent years allow to extract more than two dozen different characteristics of materials, making nanoidentification a much more informative means compared to traditional types of mechanical testing [1, 2].	The primary data processing techniques developed in recent years yield more than two dozen different material characteristics, making nanoidentification a much more informative tool than traditional mechanical tests [1, 2].
в пределах нескольких порядков величины	within several orders of magnitude	Характер зависимости остается близким к линейному в пределах нескольких порядков величины R.	The character of the dependence remains close to linear within several orders of magnitude of the R value.	The nature of the dependence remains close to the linear, within a few orders of the magnitude of the R.	The nature of the dependence remains close to the linear one within several orders of magnitude r.	The nature of the dependency remains close to linear within several order of r.
в предположении, что	on the assumption that	Эти данные пересчитаны на размерность Дж/(моль К) в предположении, что плотность никеля постоянна и равна 8.875 г/см3 (мольная масса 58.693).	These data are recalculated into the dimension of J/(mol K) on the assumption that the nickel density is constant and equals to 8.875 g/cm3 (molar mass 58.693).	These data are recalculated by the dimension of J/(mol K) in the assumption that the nickel density is constant and equal to 8.875 g/cm3 (Moloal mass 58.693).	These data are calculated at the dimension j/(mol k) assuming that the nickel density is constant and equal to 8.875 g/cm3 (mol mass 58.693).	These data are converted to the dimension of g/(mol k) in the assumption that nickel density is constant at 8.875 g/cm3 (milk mass 58.693).
в пространстве параметров	in the space of parameters	Область исключения в пространстве параметров  основывается только на отношении энергетических спектров позитронов, полученных на разных расстояниях от детектора до ядра реактора.	The exclusion area in the space of parameters  is based only on the ratio of positron energy spectra recorded at different distances from the detector to the reactor core.	The area of exclusion in the space of parameters is based only on the ratio of the energy spectra of positrons obtained at different distances from the detector to the reactor nucleus.	The exclusion field in the parameter space is based only on the ratio of the energy spectra of the positrons obtained at different distances from the detector to the reactor core.	The area of exclusion in the parameter space is based only on the energy spectra of the positrons obtained at different distances from the detector to the reactor core.
