Russian_term	English_term	Russian_sentence	English_sentence_expert	en_google Russian_sentence	en_nllb Russian_sentence	en_marian Russian_sentence	consistency
схема эксперимента	schematic of the experiment	Образцы и схема экспериментальной установки	SAMPLES AND SCHEMATIC OF THE EXPERIMENTAL SETUP	Samples and an experimental installation scheme	samples and scheme of experimental installation	Samples and experimental installation diagram	True
схема эксперимента	schematic of the experiment	Схема экспериментальной установки приведена на рис. 2.	A schematic of the experimental setup is shown in Fig. 2.	The scheme of the experimental installation is shown in Fig.2.	The experimental installation diagram is given in Figure 2.	A diagram of the experimental installation is given in Figure 2.	True
схема эксперимента	schematic of the experiment	Схема экспериментальной установки для измерения материальных параметров данного образца на основе метода адаптивной голографической интерферометрии в пропускающей геометрии представлена на рисунке.	A schematic of the experimental setup for measuring the material parameters of this sample based on adaptive holographic interferometry in transmission geometry is presented in Fig. 1.	The scheme of the experimental installation for measuring the material parameters of this sample based on the method of adaptive holographic interferometry in the transmitting geometry is presented in the figure.	The diagram of the experimental installation for measuring the material parameters of this sample based on the method of adaptive holographic interferometry in passing geometry is shown in the figure.	An experimental setup for measuring the material parameters of the sample using the adaptive holographic interferometry method in the missing geometry is presented in the figure.	True
схема эксперимента	schematic of the experiment	Схема эксперимента представлена на вставке справа сверху [48].	Schematic of the experiment is in the right top inset [48].	The experimental scheme is presented on the insert on the top right [48].	The experimental scheme is shown in the right-hand insert above [48].	The diagram of the experiment is presented on the top right box [48].	True
схема эксперимента	schematic of the experiment	Схема экспериментальной ЖК-ячейки показана на рис. 29 [83].	A schematic diagram of an experimental LC cell is shown in Fig. 29 [83].	The scheme of the experimental LCD-gap is shown in Fig.29 [83].	The experimental cell diagram is shown in Figure 29 [83].	The experimental cell jockey scheme is shown in Figure 29 [83].	False
схема эксперимента	schematic of the experiment	Рис. 5. Принципиальная схема экспериментального стенда для исследования процессов формирования фотоиндуцированных деформаций, включающая в себя основные инструменты для реализации времяразрешающей рентгенодифракционной методики и электрофизических измерений. ТTL1–ТTL4 – управляющие TTL-сигналы, подаваемые на модули экспериментального стенда для автоматизации экспериментальных измерений.	Fig. 5 Schematic diagram of the experimental bench for the investigation of the processes of photoinduced-deformation formation, comprising the basic instruments for the implementation of time-resolved X-ray diffraction technique and electrophysical measurements. ТTL1–ТTL4 are controlling TTL signals fed to the modules of experimental bench intended for the experimental measurement automation.	rice.5. The fundamental scheme of the experimental stand for the study of the processes of forming photoched deformations, which includes the main tools for the implementation of temporary radiological radiological methodology and electrophysical measurements.TTL1-TTL4-control TTL signals supplied to the experimental stand modules for automation of experimental measurements.	Figure 5. Principal diagram of the experimental stand for studying the processes of formation of photoinduced deformations, including the main tools for implementing time-consuming x-ray diffraction techniques and electrophysical measurements. ttl1ttl4  control ttl-signals given to the modules of the experimental stand for automation of experimental measurements.	Figure 5. The basic design of the experimental bench for the study of photo-induced deformities, which includes the main tools for the implementation of the temporal X-ray and electrophysical measurements. ttl1-ttl4 – control ttl signals supplied to the modules of the experimental bench for the automation of experimental measurements.	False
схема эксперимента	schematic of the experiment	Основные параметры станции приведены в табл. 6, схема экспериментальной станции показана на рис. 30.	The main parameters of the experimental station are listed in Table 6; its schematic diagram is shown in Fig. 30.	The main parameters of the station are given in table.6, the scheme of the experimental station is shown in Fig.thirty.	The main parameters of the station are given in Table 6, the diagram of the experimental station is shown in Figure 30.	The main parameters of the station are shown in table 6, the map of the experimental station is shown in figure 30.	False
схема эксперимента	schematic of the experiment	Схема эксперимента и наносекундная динамика образования кавитационного пузыря и распространения ударной волны, установленные в эксперименте, показаны на рис. 34.	A schematic of the experiment and the experimentally determined nanosecond dynamics of cavitation bubble formation and shock wave propagation are shown in Fig. 34.	The experiment scheme and the nanosecond dynamics of the formation of the cavitation bladder and the spread of the shock wave established in the experiment are shown in Fig.34.	The experimental pattern and nanosecond dynamics of cavitation bubble formation and impact wave propagation, as established in the experiment, are shown in Figure 34.	The design of the experiment and the nanosecond dynamics of the formation of the cavitation bubble and the spreading of the shock wave as determined in the experiment are shown in Figure 34.	True
схема эксперимента	schematic of the experiment	Основные параметры станции приведены в табл. 7, схема экспериментальной станции показана на рис. 36.	The main parameters of the experimental station are listed in Table 7, and its schematic diagram is shown in Fig. 36.	The main parameters of the station are given in table.7, the scheme of the experimental station is shown in Fig.36.	The main parameters of the station are given in table 7, the diagram of the experimental station is shown in figure 36.	The main parameters of the station are shown in table 7, the map of the experimental station is shown in figure 36.	False
схема эксперимента	schematic of the experiment	Схема эксперимента показана на рис. 38.	A schematic of the experiment is shown in Fig. 38.	The experimental scheme is shown in Fig.38.	The experimental diagram is shown in Figure 38.	The model of the experiment is shown in Figure 38.	True
скорость звука	speed of sound	СКОРОСТЬ ЗВУКА В БИНАРНЫХ РАСПЛАВЛЕННЫХ СМЕСЯХ ГАЛОГЕНИДОВ КАЛИЯ	Speed of Sound in Binary Molten Mixtures of Potassium Halides	sound speed in binary molten mixtures of potassium halide	speed of sound in binary melted mixes of potassium halogenides	The speed of sound in the binary molten mixtures of potassium halogenids	True
скорость звука	speed of sound	С помощью импульсно-временного метода измерена скорость звука в бинарных расплавленных смесях KCl–KBr, KCl–KI, KBr–KI, KF–KCl, KF–KBr и KF–KI в широком интервале температур и составов.	Speed of sound in binary molten KCl–KBr, KCl–KI, KBr–KI, KF–KCl, KF–KBr, and KF–KI mixtures has been measured by the time-domain method in wide temperature and composition ranges.	Using the pulse-time method, the sound speed in binary molten mixtures KCL-KBR, KCL-Ki, KBR-KI, KF-KF-KF-KF-in a wide range of temperatures and compositions is measured.	The pulse-time method measures the speed of sound in binary melted mixtures of kclkbr, kclki, kbrki, kfkcl, kfkbr and kfki in a wide range of temperatures and compositions.	The pulse-time method measures the sound velocity of the binary molten mixtures kcl-kbr, kcl-ki, kbr-ki, kf-kcl, kf-kbr and kf-ki at a wide range of temperatures and compositions.	True
скорость звука	speed of sound	С использованием литературных данных по плотности рассчитаны адиабатическая сжимаемость и молекулярная скорость звука.	The adiabatic compressibility and molecular speed of sound have been calculated using the data on density in the literature.	Using literary data on density, adiabatic compressibility and molecular sound speed are calculated.	Using literature data, the adiabatic compressibility and molecular speed of sound are calculated.	Adiabatic compressibility and molecular sound velocity are calculated using literary density data.	True
скорость звука	speed of sound	Скорость звука u измерялась импульсно-временным методом с использованием экспериментальной установки, подробно описанной ранее [3], с фиксированием времени ∆t прохождения звука через исследуемую среду между плоскопараллельными гранями цилиндрических акустических волноводов при заданном расстоянии ∆h между ними.	Speed of sound u was measured by the time-of-flight method on an experimental setup described in detail previously [3], which fixes time ∆t of sound propagation through the medium under study between plane-parallel faces of cylindrical acoustic waveguides at specified distance ∆h between them.	The speed of the sound U was measured by the pulsed-temporal method using an experimental installation, described in detail earlier [3], with the fixing of the time of the sound passing through the studied medium between the plane-parallel faces of the cylindrical acoustic waves at a given distance ∆H between them.	The speed of sound u was measured by an impulse-time method using the experimental setup described in detail earlier [3], by recording the time ∆t of the passage of sound through the environment being studied between the flat parallel sides of the cylindrical acoustic wave currents at a given distance ∆h between them.	The sound speed u was measured by a pulse-time method using the experimental installation described in detail earlier [3], recording the time Δt of the sound passing through the environment under investigation between the flat parallel edges of the cylindrical acoustic wavers at a specified distance Δh between them.	True
скорость звука	speed of sound	Скорость звука рассчитывалась по выражению u = ∆h/∆t.	The speed of sound was calculated from the expression u = ∆h/∆t.	The sound speed was calculated according to the expression U = ∆H/∆T.	The speed of sound was calculated by the expression u = ∆h/∆t.	The sound speed was calculated by the expression u = Δh/Jt.	True
скорость звука	speed of sound	Эксперименты показывают, что скорость звука в расплавленных солях не зависит от частоты в диапазоне от 1 до 35 МГц.	It was shown experimentally that the speed of sound in molten salts is independent of frequency in the range from 1 to 35 MHz.	Experiments show that the speed of sound in molten salts does not depend on the frequency in the range from 1 to 35 MHz.	Experiments show that the speed of sound in molten salts is not dependent on the frequency range from 1 to 35 mg/h.	Experiments show that the speed of sound in molten salts is independent of frequency between 1 and 35 mgc.	True
скорость звука	speed of sound	Видно, что скорость звука во всех смесях убывает нелинейно с увеличением концентрации более тяжелых ионов системы.	One can see that the speed of sound in all mixtures decreases nonlinearly with an increase in the concentration of heavier ions in the system.	It can be seen that the speed of sound in all mixtures decreases non -linearly with an increase in the concentration of heavier ions of the system.	You can see that the speed of sound in all mixtures decreases nonlinearly as the concentration of heavier ions in the system increases.	As can be seen, the speed of sound in all mixtures is losing non-linearly with the increasing concentration of the heavier ions of the system.	True
скорость звука	speed of sound	Независимость от температуры произведения скорости звука и мольного объема V = M/ρ также соблюдается для ионных расплавов солей, если представить молекулярную скорость звука в виде R = u2/3V [31].	The temperature independence of the product of the speed of sound and molar volume V = M/ρ is also valid for ionic melts of salts, if the molecular speed of sound is presented in the form R = u2/3V [31].	Independence from the temperature of the speed of sound speed and prayer volume V = m/ρ is also observed for ion melts of salts, if you represent the molecular speed of sound in the form of R = U2/3V [31].	The independence of the product temperature of the sound speed and the molten volume v = m/ρ is also observed for salt ionic dissolutions if the molecular speed of sound is represented as r = u2/3v [31].	Independence from the temperature of the sound speed and the milk volume v = m/ should also be observed for salt ion melts if the molecular sound velocity r = u2/3v [31] is represented.	True
скорость звука	speed of sound	С использованием литературных данных по плотности рассчитаны адиабатическая сжимаемость и молекулярная скорость звука.	The adiabatic compressibility and molecular speed of sound have been calculated using the data on density in the literature.	Using literary data on density, adiabatic compressibility and molecular sound speed are calculated.	Using literature data, the adiabatic compressibility and molecular speed of sound are calculated.	Adiabatic compressibility and molecular sound velocity are calculated using literary density data.	True
скорость звука	speed of sound	В [9] измерена также скорость звука.	The speed of sound was also measured in [9].	In [9] the speed of sound is also measured.	In [9] the speed of sound is also measured.	In [9] the sound speed is also measured.	True
упругое рассеяние нейтронов	elastic neutron scattering	Неупругое рассеяние нейтронов на магнонах появляется в узком конусе вокруг брэгговского пика при углах рассеяния меньше, чем , где  – масса нейтрона.	Inelastic neutron scattering by magnons appears in a narrow cone around the Bragg peak at scattering angles smaller than , where  is the neutron mass.	The inextricty scattering of neutrons on magnes appears in a narrow cone around the Bragg peak at the angles of scattering less than, where there is the mass of a neutron.	The uneven dispersion of neutrons on the magnets appears in a narrow cone around the Broggs peak at the angle of dispersion less than where  is the mass of the neutron.	The non-resilient neutron dispersion on magnets appears in a narrow cone around the Bragg peak at less dispersive angles than, where the mass of neutron is.	True
упругое рассеяние нейтронов	elastic neutron scattering	Продемонстрировано, что малоугловое неупругое рассеяние нейтронов представляет собой два круга с ограниченными радиусами и центрированными по передаче импульсами в соответствии с волновым вектором магнитной спирали kS, ориентированных вдоль приложенного вектора напряженности магнитного поля H.	It was demonstrated that small-angle inelastic neutron scattering is represented by two circles with limited radii and transfer-centered pulses according to the wave vector kS of the magnetic spiral oriented along the applied magnetic field vector H.	It was demonstrated that the low -ugly unlucky scattering of neutrons is two circles with limited radii and pulses centered in accordance with the wave vector of the KS magnetic spiral, oriented along the applied vector of the magnetic field h.	It has been shown that the small-angle uneven dispersion of neutrons is two circles with limited radii and centred on the transmission of pulses in accordance with the wave vector of the magnetic spiral ks, oriented along the applied magnetic field voltage vector h.	It has been demonstrated that low-carbon non-resilient neutron dispersion is two circles with limited radius and centralized in the transmission of pulses according to the wave vector of the magnetic spiral ks, which is directed along the applied magnetic field tension vector h.	True
упругое рассеяние нейтронов	elastic neutron scattering	Действительно, для изучения структурных – или статических – свойств вещества основным источником информации является упругое рассеяние нейтронов, т.е. рассеяние без изменения энергии.	Indeed, the main source of information for studying the structural (or static) properties of a material is elastic neutron scattering; i.e., scattering without a change in energy.	Indeed, for the study of structural - or static - properties of a substance, the main source of information is the elastic scattering of neutrons, i.e.scattering without changes in energy.	Indeed, for studying the structural  or static  properties of matter, the main source of information is the elastic dispersion of neutrons, i.e. the dispersion without energy change.	In fact, for structural – or static – properties of the substance, the main source of information is the persistent dispersion of neutrons, i.e. the dissipation without change of energy.	True
упругое рассеяние нейтронов	elastic neutron scattering	Тем не менее неупругое рассеяние нейтронов, как поляризованных, так и неполяризованных, остается исключительно эффективным и прецизионным методом исследования спин-фононного взаимодействия и выявления скрытого параметра порядка, возникающего в электронной подсистеме (например, [30]).	Nonetheless, the inelastic scattering of neutrons (both polarized and unpolarized) remains an extremely efficient and precise method for studying the spin–phonon interaction and detection of the hidden order parameter arising in the electron subsystem (see, e.g., [30]).	Nevertheless, the improperly scattering of neutrons, both polarized and unlawed, remains an exceptionally effective and precision method for studying spin-phonon interaction and identifying the hidden parameter of the order that occurs in the electronic subsystem (for example, [30]).	However, the uneven dispersion of neutrons, both polarized and nonpolarized, remains an extremely efficient and precision method of investigating spin-phonon interactions and detecting a hidden parameter of order arising in an electronic subsystem (e.g., [30]).	However, the non-resilient dispersion of neutrons, both polarized and non-polarized, remains an extremely effective and highly accurate method of examining spin-phonic interactions and identifying a hidden parameter of order that arises in the electronic subsystem (e.g. [30]).	False
упругое рассеяние нейтронов	elastic neutron scattering	Неупругое рассеяние нейтронов имеет неоспоримые преимущества при исследованиях водородсодержащих образцов.	Inelastic neutron scattering has undoubted advantages when studying hydrogen-containing samples.	Inhravee neutron scattering has undeniable advantages in the study of hydrogen -containing samples.	The unsteady dispersion of neutrons has undeniable advantages in studies of hydrogen-containing samples.	Non-resilient neutron dissipation has undeniable advantages in the study of hydrogen-containing samples.	True
упругое рассеяние нейтронов	elastic neutron scattering	Квазиупругое рассеяние нейтронов на сегодня является единственным экспериментальным методом, позволяющим изучать как временные, так и пространственные характеристики процессов самодиффузии.	To date, quasi-elastic neutron scattering is the only experimental method allowing one to study both temporal and spatial characteristics of self-diffusion processes.	The quasi -soil scattering of neutrons today is the only experimental method that allows you to study both temporary and spatial characteristics of self -diffusion processes.	The quasi-sustainable dispersion of neutrons is the only experimental method to study both the temporal and spatial characteristics of self-diffusion processes.	The near-resilient neutron dispersion is now the only experimental method for examining both the temporal and spatial characteristics of self-diffuse processes.	True
упругое рассеяние нейтронов	elastic neutron scattering	Но, как упомянуто выше, неупругое рассеяние нейтронов обладает неоспоримыми преимуществами, особенно при исследованиях низкочастотной динамики, которая наблюдается в большинстве полимерных биологических систем.	However, as was noted above, inelastic neutron scattering has undoubted advantages, especially when studying the low-frequency dynamics, which is observed in most of polymer biological systems.	But, as mentioned above, inextricty neutron scattering has undeniable advantages, especially in the study of low -frequency dynamics, which is observed in most polymer biological systems.	But as I mentioned above, the uncomfortable dispersion of neutrons has undeniable advantages, especially in the study of low-frequency dynamics, which is observed in most polymer biological systems.	But, as mentioned above, the non-resilient dispersion of neutrons has undeniable advantages, especially in the low-frequency dynamics that are observed in most polymeric biological systems.	True
упругое рассеяние нейтронов	elastic neutron scattering	Список, конечно, далек от полноты, но в перечисленных направлениях неупругое рассеяние нейтронов и неупругое рассеяние СИ позволяют получать важную информацию о свойствах таких систем.	This list is far from being exhaustive; however, the use of inelastic neutron scattering and inelastic SR scattering when studying the above-mentioned phenomena provides important information about the properties of these systems.	The list, of course, is far from completeness, but in the listed directions, inextricty neutron scattering and inextricular scattering of SI allow you to receive important information about the properties of such systems.	The list is far from complete, of course, but in these directions, the unstable dispersion of neutrons and the unstable dispersion of neutrons give us important information about the properties of such systems.	The list is, of course, far from complete, but in the areas listed, non-resilient neutron dispersion and non-resilient dissipation provide important information about the properties of such systems.	True
экспериментальная установка	experimental setup	Экспериментальная установка для возбуждения и регистрации спектров спонтанного КР света описана в [22].	The experimental setup for exciting and recording spontaneous Raman scattering spectra was described in [22].	Experimental installation for the excitement and registration of spontaneous spontaneous spectra of light is described in [22].	The experimental installation for the excitation and registration of spectra of spontaneous light is described in [22].	The experimental installation for the exclamation and recording of the spectra of spontaneous light is described in [22].	True
экспериментальная установка	experimental setup	ЭКСПЕРИМЕНТАЛЬНАЯ УСТАНОВКА И ОБРАЗЦЫ КОРПУСНОЙ СТАЛИ	EXPERIMENTAL SETUP AND VESSEL-STEEL SAMPLES	Experimental installation and samples of corps steel	experimental installation and samples of hull steel	Experimental installation and core steel samples	True
экспериментальная установка	experimental setup	ЭКСПЕРИМЕНТАЛЬНАЯ УСТАНОВКА И РЕЗУЛЬТАТЫ	EXPERIMENTAL AND RESULTS	Experimental installation and results	experimental installation and results	Pilot installation and results	False
экспериментальная установка	experimental setup	При исследовании интенсивности спектральных линий тонкой структуры Iс и Iмб Мандельштам-Бриллюэна нами была использована экспериментальная установка с двухпроходным интерферометром Фабри-Перо с контрастностью интерференционной картины 4105 и резкостью ~40.	Investigations of the intensities of the fine-structure spectral lines Ic and IMB were performed using an experimental setup with a double-pass Fabry–Perot interferometer with the interference-pattern contrast of 4 × 105 and sharpness of ~40.	In the study of the intensity of the spectral lines of the thin structure of the IS and IMB of Mandelstam-Bri-Philoen, we used an experimental installation with a two-pass interferometer of the factory pero with the contrast of the interference picture 4105 and the sharpness of ~ 40.	When we studied the intensity of the spectral lines of the thin structure of iis and imb mandelsthem-brillluene we used an experimental installation with a two-way factory-perro interferometer with a contrast of interference picture 4105 and a sharpness of ~40.	In our study of the intensity of the spectrum lines of the fine structure of is and imb mandelstam diamonds, we used an experimental plant with a two-way factory-pero interferometer with contrast to the interference painting of 4105 and sharpness of ~40.	True
экспериментальная установка	experimental setup	Аналогичная экспериментальная установка подробно описана в предыдущих наших работах [10].	A similar experimental setup was described in detail in our previous study [10].	A similar experimental installation is described in detail in our previous works [10].	A similar experimental installation has been described in detail in our previous works [10].	A similar experimental installation has been described in detail in previous work [10].	True
экспериментальная установка	experimental setup	Экспериментальная установка	EXPERIMENTAL	Experimental installation	experimental installation	experimental installation	False
экспериментальная установка	experimental setup	Экспериментальная установка, для получения спектров люминесценции: 1 – источник возбуждающего излучения ДРШ 250; 2 – светофильтр, выделяющий возбуждающее излучение; 3 – монохроматор, выделяющий возбуждающее излучение; 4 – криостат; 5 – исследуемый образец; 6 – терморегулятор; 7 – монохроматор для анализа спектра излучения; 8 – фотоумножители; 9 – усилители постоянного тока; 10 – цифровой вольтметр; 11 – устройство ввода–вывода; 12 – вычислительное устройство; 13 – графопостроитель.	Experimental setup for recording luminescence spectra: (1) DRSh 250 exciting radiation source, (2) light filter emitting excitation radiation, (3) monochromator emitting excitation radiation, (4) cryostat, (5) test sample, (6) thermostat, (7) monochromator for analyzing the radiation spectrum, (8) photomultipliers, (9) DC amplifiers, (10) digital voltmeter, (11) input–output device, (12) computer, and (13) plotter.	Experimental installation, to obtain spectra of luminescence: 1 - the source of exciting radiation DRSh 250;2 - a light filter that distinguishes exciting radiation;3 - monochromator that distinguishes exciting radiation;4 - cryostat;5 - examined sample;6 - thermostat;7 - monochromator for analysis of the radiation spectrum;8 - photo -enhances;9 - direct current amplifiers;10 - digital voltmeter;11 - device input - output;12 - computing device;13 - Grafopaurus.	experimental installation for obtaining spectra of luminescence: 1  source of exciting radiation drsh 250; 2  light filter, which releases exciting radiation; 3  monochromator, which releases exciting radiation; 4  cryostat; 5  sample being studied; 6  thermoregulator; 7  monochromator for analysis of radiation spectrum; 8  photo amplifiers; 9  constant current amplifiers; 10  digital voltmeter; 11  input and output device; 12  computing device; 13  graphoprocessor.	Experimental installation, for luminescence spectra: 1 is the source of the irradiation drift 250; 2 is a light filter that emits radiation; 3 is a monocromator that emits radiation; 4 is a cryostat; 5 is a test sample; 6 is a thermoregulator; 7 is a monocromator to analyse the radiation spectrum; 8 is a photogram; 9 is a DC amplifier; 10 is a digital voltmeter; 11 is an input-output device; 12 is a computational device; 13 is a graph designer.	True
экспериментальная установка	experimental setup	Схема эксперимента. Экспериментальная установка накачки – пробы с использованием ячеек с алмазными наковальнями.	Schematic of the experiment: experimental pump–probe setup using cells with diamond anvils.	Experiment scheme.Experimental installation of pumping - samples using cells with diamond anvils.	The experimental system is to install a sample pump using cells with diamond plates.	Experimental scheme. Experimental injection-- samples using diamond-infested cells.	False
